"subjID" "Trial" "level1_choice" "level2_choice" "reward" "transition" "Stay" "PrReward" "PrTransition" "RT1" "RT2"
"114" 135 1 1 0 1 1 0 -1 1389 664
"114" 136 1 1 0 1 1 0 1 291 274
"114" 137 2 2 0 -1 0 0 1 559 233
"114" 138 1 1 1 1 0 0 -1 342 258
"114" 139 1 3 1 -1 1 1 1 351 431
"114" 140 1 1 0 1 1 1 -1 273 303
"114" 141 1 1 0 1 1 0 1 300 51
"114" 142 2 4 0 1 0 0 1 446 207
"114" 143 1 3 1 -1 0 0 1 257 328
"114" 144 1 1 1 1 1 1 -1 277 239
"114" 145 1 1 1 1 1 1 1 282 299
"114" 146 1 1 0 1 1 1 1 312 273
"114" 147 2 4 1 1 0 0 1 315 293
"114" 148 2 4 1 1 1 1 1 390 414
"114" 149 2 4 1 1 1 1 1 534 323
"114" 150 2 4 0 1 1 1 1 273 317
"114" 151 1 1 0 1 0 0 1 299 245
"114" 152 2 4 1 1 0 0 1 240 187
"114" 153 2 4 0 1 1 1 1 363 385
"114" 154 1 1 0 1 0 0 1 290 170
"114" 155 2 2 0 -1 0 0 1 99 196
"114" 156 1 3 1 -1 0 0 -1 257 92
"114" 157 1 1 1 1 1 1 -1 297 257
"114" 158 1 3 0 -1 1 1 1 371 260
"114" 159 1 3 0 -1 1 0 -1 238 4
"114" 160 1 1 0 1 1 0 -1 224 262
"114" 161 2 4 1 1 0 0 1 305 205
"114" 162 2 4 1 1 1 1 1 276 235
"114" 163 1 1 1 1 0 1 1 273 164
"114" 164 1 1 1 1 1 1 1 332 294
"114" 165 2 4 1 1 0 1 1 503 247
"114" 166 1 1 0 1 0 1 1 280 219
"114" 167 2 4 0 1 0 0 1 44 648
"114" 168 1 1 0 1 0 0 1 412 236
"114" 169 1 1 0 1 1 0 1 274 154
"114" 170 2 2 0 -1 0 0 1 181 510
"114" 171 2 4 1 1 1 0 -1 253 226
"114" 172 2 4 1 1 1 1 1 284 268
"114" 173 2 4 1 1 1 1 1 355 209
"114" 174 2 4 0 1 1 1 1 247 271
"114" 175 1 3 1 -1 0 0 1 267 10
"114" 176 1 3 0 -1 1 1 -1 299 151
"114" 177 2 4 0 1 0 0 -1 272 246
"114" 178 1 1 0 1 0 0 1 241 239
"114" 179 1 3 1 -1 1 0 1 271 90
"114" 180 1 1 1 1 1 1 -1 280 273
